jlptLevel,japanese,reading,meaning,partOfSpeech,exampleSentence
N5,会う,あう,만나다,word,-
N5,赤い,あかい,"빨갛다, 붉다",word,-
N5,朝,あさ,아침,word,-
N5,後,あと,"뒤, 나중",word,-
N5,言う,いう,말하다,word,-
N5,上,うえ,위,word,-
N5,生まれる,うまれる,태어나다,word,-
N5,駅,えき,역,word,-
N5,大きい,おおきい,크다,word,-
N5,お金,かね,돈,word,-
N5,外国,がいこく,외국,word,-
N5,買う,かう,사다,word,-
N5,学校,がっこう,학교,word,-
N5,火よう日,かび,화요일,word,-
N5,聞く,きく,듣다,word,-
N5,銀行,ぎんこう,은행,word,-
N5,金よう日,きんび,금요일,word,-
N5,国,くに,나라,word,-
N5,車,くるま,자동차,word,-
N5,午後,ごご,오후,word,-
N5,今月,こんげつ,이번 달,word,-
N5,魚,さかな,"생선, 물고기",word,-
N5,四月,しがつ,4 월,word,-
N5,下,した,"아래, 밑",word,-
N5,七月,しちがつ,7 월,word,-
N5,七時,しちじ,7 시,word,-
N5,白い,しろい,"희다, 하얗다",word,-
N5,千円,せんえん,1000 엔,word,-
N5,先生,せんせい,선생님,word,-
N5,外,そと,밖,word,-
N5,空,そら,하늘,word,-
N5,大学,だいがく,대학,word,-
N5,高い,たかい,"키가 크다, 값이 비싸다, 높다",word,-
N5,出す,だす,"내다, 제출하다",word,-
N5,食べる,たべる,먹다,word,-
N5,小さい,ちいさい,크기가 작다,word,-
N5,手,て,손,word,-
N5,出る,でる,나가오다,word,-
N5,電話,でんわ,전화,word,-
N5,十日,とおか,일,word,-
N5,友だち,ともだち,친구,word,-
N5,土よう日,どび,토요일,word,-
N5,中,なか,"안, 속",word,-
N5,長い,ながい,길다,word,-
N5,何人,なんにん,몇 명,word,-
N5,飲む,のむ,"마시다, 삼키다",word,-
N5,入る,はいる,들어가오다,word,-
N5,花,はな,꽃,word,-
N5,人,ひと,사람,word,-
N5,古い,ふるい,"오래되다, 낡다",word,-
N5,本,ほん,책,word,-
N5,毎日,まいにち,매일,word,-
N5,前,まえ,앞,word,-
N5,右,みぎ,오른쪽,word,-
N5,水,みず,물,word,-
N5,店,みせ,가게,word,-
N5,見せる,みせる,"보이다, 보여 주다",word,-
N5,道,みち,길,word,-
N5,見る,みる,보다,word,-
N5,木よう日,もくび,목요일,word,-
N5,安い,やすい,값이 싸다,word,-
N5,休む,やすむ,쉬다,word,-
N5,山,やま,산,word,-
N5,有名,ゆうめい,유명함,word,-
N5,読む,よむ,읽다,word,-
N5,来週,らいしゅう,다음 주,word,-
N5,新しい,あたらしい,새롭다,word,-
N5,行く,いく,가다,word,-
N5,多い,おおい,많다,word,-
N5,会社,かいしゃ,회사,word,-
N5,書く,かく,"쓰다, 적다",word,-
N5,カメラ,カメラ,카메라,word,-
N5,来る,くる,오다,word,-
N5,子ども,こども,"아이, 어린이",word,-
N5,今週,こんしゅう,이번 주,word,-
N5,時間,じかん,시간,word,-
N5,タクシー,タクシー,택시,word,-
N5,電車,でんしゃ,전철,word,-
N5,名前,なまえ,이름,word,-
N5,六日,むいか,일,word,-
N5,レストラン,レストラン,레스토랑,word,-
N5,あした,あした,내일,word,-
N5,あそぶ,あそぶ,놀다,word,-
N5,あたたかい,あたたかい,따뜻하다,word,-
N5,アパート,アパート,아파트,word,-
N5,あまい,あまい,달다,word,-
N5,あらう,あらう,씻다,word,-
N5,おりる,おりる,내리다,word,-
N5,かう,かう,"사다, 구입하다",word,-
N5,かぶる,かぶる,모자를 쓰다,word,-
N5,きたない,きたない,"더럽다, 지저분하다",word,-
N5,きっぷ,きっぷ,"표, 티켓",word,-
N5,きる,きる,자르다,word,-
N5,こうえん,こうえん,공원,word,-
N5,こうちゃ,こうちゃ,홍차,word,-
N5,ごちそうさま,ごちそうさま,잘 먹었습니다,word,-
N5,こちらこそ,こちらこそ,저야말로,word,-
N5,しつもんする,しつもんする,질문하다,word,-
N5,しめる,しめる,문을 닫다,word,-
N5,しゃしん,しゃしん,사진,word,-
N5,シャワーをあびる,シャワーをあびる,샤워하다,word,-
N5,じょうず,じょうず,"능숙함, 잘함",word,-
N5,あるく,あるく,걷다,word,-
N5,いくら,いくら,얼마값,word,-
N5,いそがしい,いそがしい,바쁘다,word,-
N5,いつつ,いつつ,"다섯, 다섯 개",word,-
N5,いぬ,いぬ,개,word,-
N5,いれる,いれる,넣다,word,-
N5,えらぶ,えらぶ,"고르다, 선택하다",word,-
N5,おいしい,おいしい,맛있다,word,-
N5,おきる,おきる,일어나다,word,-
N5,おととし,おととし,재작년,word,-
N5,おふろにはいる,おふろにはいる,목욕하다,word,-
N5,おぼえる,おぼえる,"기억하다, 암기하다",word,-
N5,おもい,おもい,무겁다,word,-
N5,おもしろい,おもしろい,재미있다,word,-
N5,およぐ,およぐ,헤엄치다,word,-
N5,つよい,つよい,"강하다, 세다",word,-
N5,でも,でも,"하지만, 그렇지만",word,-
N5,どういたしまして,どういたしまして,천만에요,word,-
N5,どうぞ、よろしく,どうぞ、よろしく,잘 부탁합니다,word,-
N5,とおい,とおい,멀다,word,-
N5,ときどき,ときどき,때때로,word,-
N5,とまる,とまる,멈추다,word,-
N5,とる,とる,"집다, 잡다",word,-
N5,とる,とる,사진•영화를 찍다,word,-
N5,ならう,ならう,"배우다, 익히다",word,-
N5,なんこ,なんこ,몇 개,word,-
N5,のぼる,のぼる,산을 오르다,word,-
N5,のむ,のむ,"마시다, 삼키다",word,-
N5,のる,のる,"차, 비행기를 타다",word,-
N5,はく,はく,"바지를 입다, 신발•양말을 신다",word,-
N5,しんぶんをよむ,しんぶんをよむ,신문을 읽다,word,-
N5,スカート,スカート,"스커트, 치마",word,-
N5,すき,すき,좋아함,word,-
N5,セーター,セーター,스웨터,word,-
N5,それでは,それでは,그럼,word,-
N5,だいじょうぶ,だいじょうぶ,괜찮음,word,-
N5,たいせつ,たいせつ,"중요함, 소중함",word,-
N5,たくさん,たくさん,많이,word,-
N5,たのしい,たのしい,즐겁다,word,-
N5,たぶん,たぶん,아마,word,-
N5,ちかい,ちかい,가깝다,word,-
N5,ちょうど,ちょうど,"정각, 정확히",word,-
N5,つかれる,つかれる,"피곤하다, 지치다",word,-
N5,つく,つく,전기가 켜지다,word,-
N5,つめたい,つめたい,차갑다,word,-
N5,りょうり,りょうり,요리,word,-
N5,わかい,わかい,젊다,word,-
N5,わすれる,わすれる,잊다,word,-
N5,わたす,わたす,건네다,word,-
N5,わたる,わたる,건너다,word,-
N5,はる,はる,붙이다,word,-
N5,ピアノ,ピアノ,피아노,word,-
N5,ふく,ふく,바람이 불다,word,-
N5,ふつか,ふつか,"일, 초이틀",word,-
N5,べんきょうがしたい,べんきょうがしたい,공부를 하고 싶다,word,-
N5,べんり,べんり,편리함,word,-
N5,ぼうし,ぼうし,모자,word,-
N5,ほしい,ほしい,가지고 싶다,word,-
N5,ほんや,ほんや,"책방, 서점",word,-
N5,まいしゅう,まいしゅう,매주,word,-
N5,まがる,まがる,"돌다, 방향을 틀다",word,-
N5,また,また,또,word,-
N5,みち,みち,길,word,-
N5,もっと,もっと,"좀 더, 더",word,-
N5,ようか,ようか,"일, 여드레",word,-
N4,開ける,あける,문을 열다,word,-
N4,味,あじ,맛,word,-
N4,頭,あたま,머리,word,-
N4,暑い,あつい,덥다,word,-
N4,歩く,あるく,걷다,word,-
N4,安心,あんしん,안심,word,-
N4,以外,いがい,이외,word,-
N4,池,いけ,연못,word,-
N4,医者,いしゃ,의사,word,-
N4,急ぐ,いそぐ,서두르다,word,-
N4,妹,いもうと,여동생,word,-
N4,色,いろ,색,word,-
N4,歌,うた,노래,word,-
N4,海,うみ,바다,word,-
N4,運動,うんどう,운동,word,-
N4,英語,えいご,영어,word,-
N4,多い,おおい,많다,word,-
N4,送る,おくる,보내다,word,-
N4,重い,おもい,무겁다,word,-
N4,終わる,おわる,끝나다,word,-
N4,音楽,おんがく,음악,word,-
N4,返す,かえす,돌려주다,word,-
N4,帰る,かえる,돌아가오다,word,-
N4,貸す,かす,빌려주다,word,-
N4,風,かぜ,바람,word,-
N4,家族,かぞく,가족,word,-
N4,通う,かよう,"다니다, 통학하다",word,-
N4,体,からだ,몸,word,-
N4,借りる,かりる,빌리다,word,-
N4,考える,かんがえる,생각하다,word,-
N4,気分,きぶん,기분,word,-
N4,着物,きもの,"옷, 일본의 전통 의상",word,-
N4,急に,きゅうに,갑자기,word,-
N4,教室,きょうしつ,교실,word,-
N4,去年,きょねん,작년,word,-
N4,着る,きる,옷을 입다,word,-
N4,銀行,ぎんこう,은행,word,-
N4,近所,きんじょ,"근처, 부근",word,-
N4,黒い,くろい,검다,word,-
N4,計画,けいかく,계획,word,-
N4,研究,けんきゅう,연구,word,-
N4,公園,こうえん,공원,word,-
N4,工場,こうじょう,공장,word,-
N4,声,こえ,목소리,word,-
N4,今度,こんど,"지난번, 이번, 다음번",word,-
N4,魚,さかな,"생선, 물고기",word,-
N4,産業,さんぎょう,산업,word,-
N4,仕事,しごと,"일, 업무",word,-
N4,質問,しつもん,질문,word,-
N4,自転車,じてんしゃ,자전거,word,-
N4,品物,しなもの,물건,word,-
N4,死ぬ,しぬ,죽다,word,-
N4,自分,じぶん,"자기, 자신",word,-
N4,写真家,しゃしんか,사진가,word,-
N4,住所,じゅうしょ,주소,word,-
N4,出発,しゅっぱつ,출발,word,-
N4,食堂,しょくどう,식당,word,-
N4,食料品,しょくりょうひん,식료품,word,-
N4,知る,しる,알다,word,-
N4,人口,じんこう,인구,word,-
N4,親切,しんせつ,친절함,word,-
N4,進む,すすむ,"나아가다, 진보하다",word,-
N4,住む,すむ,"살다, 주거하다",word,-
N4,西洋,せいよう,서양,word,-
N4,世界,せかい,세계,word,-
N4,説明,せつめい,설명,word,-
N4,世話,せわ,"돌봄, 폐, 신세",word,-
N4,祖母,そぼ,"조모, 할머니",word,-
N4,空,そら,하늘,word,-
N4,台所,だいどころ,부엌,word,-
N4,建物,たてもの,건물,word,-
N4,楽しい,たのしい,즐겁다,word,-
N4,足りる,たりる,"족하다, 충분하다",word,-
N4,力,ちから,힘,word,-
N4,茶色,ちゃいろ,갈색,word,-
N4,注意,ちゅうい,주의,word,-
N4,地理,ちり,지리,word,-
N4,使う,つかう,사용하다,word,-
N4,着く,つく,도착하다,word,-
N4,強い,つよい,"강하다, 세다",word,-
N4,手紙,てがみ,편지,word,-
N4,通る,とおる,"통과하다, 지나다",word,-
N4,特に,とくに,특히,word,-
N4,特別,とくべつ,특별,word,-
N4,図書館,としょかん,도서관,word,-
N4,止まる,とまる,멈추다,word,-
N4,鳥,とり,새,word,-
N4,夏,なつ,여름,word,-
N4,運ぶ,はこぶ,옮기다,word,-
N4,走る,はしる,달리다,word,-
N4,働く,はたらく,일하다,word,-
N4,早い,はやい,"이르다, 빠르다",word,-
N4,早く,はやく,"일찍, 빨리",word,-
N4,春,はる,봄,word,-
N4,病院,びょういん,병원,word,-
N4,広い,ひろい,넓다,word,-
N4,服,ふく,옷,word,-
N4,不便,ふべん,불편함,word,-
N4,古い,ふるい,"오래되다, 낡다",word,-
N4,勉強,べんきょう,공부,word,-
N4,毎朝,まいあさ,매일 아침,word,-
N4,町,まち,"도회, 거리, 번화가",word,-
N4,待つ,まつ,기다리다,word,-
N4,店,みせ,가게,word,-
N4,野菜,やさい,야채,word,-
N4,安い,やすい,싸다,word,-
N4,夕方,ゆうがた,저녁,word,-
N4,有名,ゆうめい,유명함,word,-
N4,用意,ようい,"준비, 대비, 주의",word,-
N4,洋服,ようふく,"양복, 서양식 옷",word,-
N4,夜,よる,밤,word,-
N4,弱い,よわい,약하다,word,-
N4,料理,りょうり,요리,word,-
N4,旅館,りょかん,여관,word,-
N4,旅行,りょこう,여행,word,-
N4,悪い,わるい,"나쁘다, 안 좋다",word,-
N4,会う,あう,만나다,word,-
N4,青い,あおい,파랗다,word,-
N4,赤い,あかい,"빨갛다, 붉다",word,-
N4,明るい,あかるい,밝다,word,-
N4,秋,あき,가을,word,-
N4,新しい,あたらしい,새롭다,word,-
N4,集まる,あつまる,모이다,word,-
N4,姉,あね,"언니, 누나",word,-
N4,洗う,あらう,씻다,word,-
N4,言う,いう,말하다,word,-
N4,犬,いぬ,개,word,-
N4,売る,うる,팔다,word,-
N4,駅,えき,역,word,-
N4,起きる,おきる,일어나다,word,-
N4,教える,おしえる,가르치다,word,-
N4,弟,おとうと,남동생,word,-
N4,同じ,おなじ,"같음, 동일함",word,-
N4,思い出す,おもだす,생각해내다,word,-
N4,買う,かう,"사다, 구입하다",word,-
N4,牛肉,ぎゅうにく,쇠고기,word,-
N4,暗い,くらい,어둡다,word,-
N4,答える,こたえる,대답하다,word,-
N4,小鳥,ことり,작은 새,word,-
N4,十分,じゅうぶん,충분히,word,-
N4,台風,たいふう,태풍,word,-
N4,正しい,ただしい,"바르다, 옳다",word,-
N4,建てる,たてる,"건물을 세우다, 짓다",word,-
N4,地図,ちず,지도,word,-
N4,作る,つくる,만들다,word,-
N4,時計,とけい,시계,word,-
N4,習う,ならう,"익히다, 배우다",word,-
N4,飲む,のむ,"마시다, 삼키다",word,-
N4,始まる,はじまる,시작되다,word,-
N4,早い,はやい,"시간적으로 이르다, 빠르다",word,-
N4,間に合う,まあう,제시간에 맞추다,word,-
N4,持つ,もつ,"가지다, 들다",word,-
N4,夕飯,ゆうはん,저녁 식사,word,-
N4,用事,ようじ,"볼일, 용무",word,-
N4,別れる,わかれる,헤어지다,word,-
N4,アイディア,アイディア,아이디어,word,-
N4,謝る,あやまる,사과하다,word,-
N4,アルバイト,アルバイト,아르바이트,word,-
N4,安全,あんぜん,안전함,word,-
N4,案内,あんない,안내,word,-
N4,以下,いか,이하,word,-
N4,いくら,いくら,아무리,word,-
N4,軒,いっけん,"한 채, 한 동집을 세는 단위",word,-
N4,いってまいります,いってまいります,다녀오겠습니다,word,-
N4,植える,うえる,나무를 심다,word,-
N4,打つ,うつ,부딪치다,word,-
N4,腕,うで,팔,word,-
N4,お祝い,いわい,축하 선물,word,-
N4,屋上,おくじょう,옥상,word,-
N4,お釣り,つり,거스름돈,word,-
N4,お土産,みやげ,가족이나 친지에게 선물할 목적으로,word,-
N4,おもちゃ,おもちゃ,장난감,word,-
N4,おや,おや,어라!,word,-
N4,折れる,おれる,"꺾이다, 접히다",word,-
N4,会場,かいじょう,회장장소,word,-
N4,鏡,かがみ,거울,word,-
N4,傘をさす,かさをさす,우산을 쓰다,word,-
N4,固い,かたい,딱딱하다,word,-
N4,壁,かべ,벽,word,-
N4,かまいません,かまいません,괜찮습니다,word,-
N4,噛む,かむ,씹다,word,-
N4,関係,かんけい,관계,word,-
N4,機会,きかい,기회,word,-
N4,技術,ぎじゅつ,기술,word,-
N4,競争,きょうそう,경쟁,word,-
N4,興味,きょうみ,"흥미, 관심",word,-
N4,比べる,くらべる,비교하다,word,-
N4,ゲーム,ゲーム,게임,word,-
N4,けんか,けんか,싸움,word,-
N4,郊外,こうがい,교외,word,-
N4,細かい,こまかい,"잘다, 세세하다",word,-
N4,怖い,こわい,무섭다,word,-
N4,坂,さか,언덕,word,-
N4,さっき,さっき,아까,word,-
N4,触る,さわる,만지다,word,-
N4,残念,ざんねん,"유감스러움, 섭섭함",word,-
N4,失敗,しっぱい,"실패, 실수",word,-
N4,失礼,しつれい,실례임,word,-
N4,邪魔,じゃま,거추장스러움,word,-
N4,準備,じゅんび,준비,word,-
N4,招待,しょうたい,초대,word,-
N4,成功,せいこう,성공,word,-
N4,生産,せいさん,생산,word,-
N4,先輩,せんぱい,선배,word,-
N4,相談,そうだん,상담,word,-
N4,それで,それで,그래서,word,-
N4,それに,それに,게다가,word,-
N4,だから,だから,"그러니까, 그래서",word,-
N4,確かに,たしかに,"분명히, 확실하게",word,-
N4,足す,たす,더하다,word,-
N4,出す,だす,"내다, 제출하다",word,-
N4,暖房,だんぼう,난방,word,-
N4,チェック,チェック,"체크, 점검",word,-
N4,チケット,チケット,"티켓, 표",word,-
N4,中止,ちゅうし,중지,word,-
N4,とうとう,とうとう,드디어,word,-
N4,直す,なおす,고치다,word,-
N4,治る,なおる,병이 낫다,word,-
N4,なるべく,なるべく,"되도록, 가능한 한",word,-
N4,苦い,にがい,맛이 쓰다,word,-
N4,日本製,にほんせい,일본제품,word,-
N4,熱心,ねっしん,열심임,word,-
N4,眠い,ねむい,졸리다,word,-
N4,喉,のど,목구멍,word,-
N4,パートタイム,パートタイム,파트타임,word,-
N4,恥ずかしい,はずかしい,부끄럽다,word,-
N4,パソコン,パソコン,컴퓨터,word,-
N4,番組,ばんぐみ,방송 프로그램,word,-
N4,引き出し,ひだし,서랍,word,-
N4,太る,ふとる,뚱뚱해지다,word,-
N4,変な味,へんあじがする,이상한 맛이 나다,word,-
N4,貿易,ぼうえき,무역,word,-
N4,放送,ほうそう,방송,word,-
N4,翻訳,ほんやく,번역,word,-
N4,または,または,또는,word,-
N4,見つかる,みつかる,발견되다,word,-
N4,珍しい,めずらしい,"진귀하다, 드물다",word,-
N4,役に立つ,やくたつ,도움이 되다,word,-
N4,やっと,やっと,"겨우, 간신히",word,-
N4,やっぱり,やっぱり,역시,word,-
N4,やわらかい,やわらかい,부드럽다,word,-
N4,予約,よやく,예약,word,-
N4,寄る,よる,들르다,word,-
N4,利用,りよう,이용,word,-
N4,レジ,レジ,"계산대, 레지스터",word,-
N4,レポート,レポート,리포트,word,-
N4,連絡,れんらく,연락,word,-
N4,あいさつしました,あいさつしました,인사를 했습니다,word,-
N4,≒「おはようございます。」と言,いいました,“ 안녕하세요.”라고 말했습니다,word,-
N4,あしたはちょっと……,あしたはちょっと……,내일은 좀……,word,-
N4,≒あしたはだめです,≒あしたはだめです,내일은 안 됩니다,word,-
N4,あのみせはいつもすいています,あのみせはいつもすいています,저 가게는 언제나 비어 있습니다,word,-
N4,≒あのみせはいつもきゃくが少,すくないです,저 가게는 늘 손님이 적습니다,word,-
N4,あやまりました,あやまりました,사과했습니다,word,-
N4,≒「ごめんなさい。」といいました,≒「ごめんなさい。」といいました,“ 미안합니다.”라고 말했습니다,word,-
N4,いっしょうけんめい,いっしょうけんめい,열심히,word,-
N4,≒ねっしんに,≒ねっしんに,열심히,word,-
N4,うそです,うそです,거짓말입니다,word,-
N4,≒ほんとうではありません,≒ほんとうではありません,사실이 아닙니다,word,-
N4,おとうさんにしかられました,おとうさんにしかられました,아버지에게 야단맞았습니다,word,-
N4,≒おとうさんにおこられました,≒おとうさんにおこられました,아버지에게 혼났습니다,word,-
N4,おれいをいいました,おれいをいいました,감사 인사를 했습니다,word,-
N4,≒「ありがとうございます。」といいました,≒「ありがとうございます。」といいました,“ 고맙습니다.”라고 말했습니다,word,-
N4,かいものにさそいました,かいものにさそいました,쇼핑하자고 권했습니다,word,-
N4,≒「いっしょにかいものにいきませんか」と言いました“,い,같이 쇼핑 가지 않을래요”라고 말했습니다,word,-
N4,かならず来ると思います,くおもいます,꼭 올 거라고 생각합니다,word,-
N4,≒きっと来ると思います,くおもいます,반드시 올 거라고 생각합니다,word,-
N4,きけんです,きけんです,위험합니다,word,-
N4,≒あぶないです,≒あぶないです,위험합니다,word,-
N4,きびしいじだいはもうすぎました,きびしいじだいはもうすぎました,힘든 시대는 이제 지나갔습니다,word,-
N4,≒たいへんなじだいでした,≒たいへんなじだいでした,어려운 시대였습니다,word,-
N4,けしきのいいところ,けしきのいいところ,경치가 좋은 곳,word,-
N4,≒きれいな山やもりが見,やまみえるこうえん,멋진 산이나 숲이 보이는 공원,word,-
N4,こうぎにしゅっせきします,こうぎにしゅっせきします,강의에 출석합니다,word,-
N4,生の話を聞,せんせいはなしききます,대학에서 선생님의 이야기를 듣습니다,word,-
N4,こうつうがべんりです,こうつうがべんりです,교통이 편리합니다,word,-
N4,≒バスやちかてつがたくさんはしっています,≒バスやちかてつがたくさんはしっています,버스나 지하철이 많이 달리고 있습니다,word,-
N4,ここはすべりやすいのです,ここはすべりやすいのです,이곳은 미끄러지기 쉽습니다,word,-
N4,≒ここはあるきにくいです,≒ここはあるきにくいです,이곳은 걷기 불편합니다,word,-
N4,このワインはヨーロッパせいです,このワインはヨーロッパせいです,이 와인은 유럽제입니다,word,-
N4,≒このワインはヨーロッパでつくられています,います,이 와인은 유럽에서 만들어지고 있습니다,word,-
N4,さいふをぬすまれました,さいふをぬすまれました,지갑을 도둑맞았습니다,word,-
N4,≒さいふをとられました,≒さいふをとられました,지갑을 날치기당했습니다,word,-
N4,サッカーがさかんになりました,サッカーがさかんになりました,축구가 왕성해졌습니다,word,-
N4,≒サッカーをする人,ひとがふえました,축구를 하는 사람이 늘었습니다,word,-
N4,さわがないでください,さわがないでください,떠들지 말아 주세요,word,-
N4,≒うるさくしないでください,≒うるさくしないでください,시끄럽게 하지 말아 주세요,word,-
N4,しゅくだいはかんたんでした,しゅくだいはかんたんでした,숙제는 간단했습니다,word,-
N4,≒しゅくだいはやさしかったです,≒しゅくだいはやさしかったです,숙제는 쉬웠습니다,word,-
N4,しょうらいのけいかく,しょうらいのけいかく,장래 계획,word,-
N4,≒これからのけいかく,≒これからのけいかく,앞으로의 계획,word,-
N4,しょくじにしましょう,しょくじにしましょう,식사를 합시다,word,-
N4,≒ごはんを食べましょう,たべましょう,밥을 먹읍시다,word,-
N4,じをていねいに書きなさい,かきなさい,글씨를 정성스럽게 쓰세요,word,-
N4,≒きれいにじを書きなさい,かきなさい,깨끗하게 글씨를 쓰세요,word,-
N4,先生のおたくにうかがいます,せんせいのおたくにうかがいます,선생님 댁을 찾아뵙습니다,word,-
N4,≒先生のおたくにまいります,せんせいのおたくにまいります,선생님 댁에 갑니다,word,-
N4,たいいんする,たいいんする,퇴원하다,word,-
N4,≒びょういんからかえってくる,≒びょういんからかえってくる,병원에서 돌아오다,word,-
N4,たなかさんいがいは来ました,きました,다나카 씨 외에는 왔습니다,word,-
N4,≒たなかさんは来ませんでしたが、ほかの人は来ました,きひときました,"다나카 씨는 오지 않았지만, 다른 사람은 왔습니다",word,-
N4,たなかさんのかわりに私ました,わたしがパーティーにでました,다나카 씨 대신에 제가 파티에 나갔습니다,word,-
N4,≒たなかさんはパーティーにでませんでした,≒たなかさんはパーティーにでませんでした,다나카 씨는 파티에 나오지 않았습니다,word,-
N4,たなかさんはるすです,たなかさんはるすです,다나카 씨는 부재중입니다,word,-
N4,≒たなかさんは出,でかけています,다나카 씨는 외출해 있습니다,word,-
N4,たなかさんをたずねました,たなかさんをたずねました,다나카 씨를 방문했습니다,word,-
N4,≒たなかさんのいえに行,いきました,다나카 씨 집에 갔습니다,word,-
N4,チェックしてください,チェックしてください,체크해 주세요,word,-
N4,≒しらべてください,≒しらべてください,확인해 주세요,word,-
N4,てがよごれています,てがよごれています,손이 더러워져 있습니다,word,-
N4,≒てがきたないです,≒てがきたないです,손이 지저분합니다,word,-
N4,電車の中はこんでいます,でんしゃなかはこんでいます,전철 안은 붐빕니다,word,-
N4,車の中には人,でんしゃなかひとがたくさんいます,전철 안에는 사람이 많이 있습니다,word,-
N4,どうぶつをいじめてはいけません,どうぶつをいじめてはいけません,동물을 괴롭혀서는 안 됩니다,word,-
N4,≒どうぶつをたいせつにしてください,≒どうぶつをたいせつにしてください,동물을 소중히 해 주세요,word,-
N4,のりものがだいすきです,のりものがだいすきです,탈것을 아주 좋아합니다,word,-
N4,≒ひこうきやふねがだいすきです,≒ひこうきやふねがだいすきです,비행기나 배를 아주 좋아합니다,word,-
N4,日がくれました,ひがくれました,해가 졌습니다,word,-
N4,≒空がくらくなりました,そらがくらくなりました,하늘이 어두워졌습니다,word,-
N4,ひさしぶりにたなかさんにあいました,ひさしぶりにたなかさんにあいました,오랜만에 다나카 씨를 만났습니다,word,-
N4,≒長んでした,ながいあいだたなかさんにあっていませんでした,오랫동안 다나카 씨를 만나지 않았습니다,word,-
N4,びっくりしました,びっくりしました,깜짝 놀랐습니다,word,-
N4,≒おどろきました,≒おどろきました,놀랐습니다,word,-
N4,びょういんにいきました,びょういんにいきました,병원에 갔습니다,word,-
N4,≒くすりをとりにいきました,≒くすりをとりにいきました,약을 받으러 갔습니다,word,-
N4,まずこのしごとをしてください,まずこのしごとをしてください,우선 이 일을 해 주세요,word,-
N4,≒はじめにこのしごとをしてください,≒はじめにこのしごとをしてください,먼저 이 일을 해 주세요,word,-
N4,まちがえやすい,まちがえやすい,틀리기 쉽다,word,-
N4,≒まちがえる人が多い,ひとおおい,틀리는 사람이 많다,word,-
N4,むすめのにゅうがくしきがありました,むすめのにゅうがくしきがありました,딸의 입학식이 있었습니다,word,-
N4,≒むすめが大学生,だいがくせいになりました,딸이 대학생이 되었습니다,word,-
N4,やせましたね,やせましたね,살이 빠졌네요,word,-
N4,≒ほそくなりました,≒ほそくなりました,야위었네요,word,-
N4,やまもとさんのじはこまかいです,やまもとさんのじはこまかいです,야마모토 씨의 글씨는 자잘합니다,word,-
N4,≒やまもとさんのじはちいさいです,≒やまもとさんのじはちいさいです,야먀모토 씨의 글씨는 작습니다,word,-
N4,りゅうがくのけいけんがあります,りゅうがくのけいけんがあります,유학 경험이 있습니다,word,-
N4,≒りゅうがくをしたことがあります,≒りゅうがくをしたことがあります,유학을 한 적이 있습니다,word,-
N4,ました,わたしはかちょうのかわりにかいぎにいきました,나는 과장 대신에 회의에 갔습니다,word,-
N4,≒かちょうはいきませんでした,≒かちょうはいきませんでした,과장은 가지 않았습니다.,word,-
N4,１ばんのへや、または２ばんのへや,１ばんのへや、または２ばんのへや,번 방 또는 2번 방,word,-
N4,≒１ばんのへやか２ばんのへや,≒１ばんのへやか２ばんのへや,번 방이나 2번 방,word,-
N4,来るのはむりです,くるのはむりです,오는 것은 무리입니다,word,-
N4,≒来られません,こられません,올 수 없습니다,word,-
N4,時間にまにあいませんでした,じかんにまにあいませんでした,시간에 맞추지 못했습니다,word,-
N4,≒時間におくれました,じかんにおくれました,시간에 늦었습니다,word,-
N4,意見,いけん,의견,word,-
N4,いたす,いたす,하다겸양어,word,-
N4,いただく,いただく,받다겸양어,word,-
N4,うまい,うまい,"맛있다, 능숙하다",word,-
N4,おかげさまで,おかげさまで,덕분에,word,-
N4,おとなしい,おとなしい,얌전하다,word,-
N4,驚く,おどろく,놀라다,word,-
N4,お礼,れい,감사 인사,word,-
N4,かしこまりました,かしこまりました,알겠습니다,word,-
N4,片付ける,かたづける,"정리하다, 치우다",word,-
N4,きびしい,きびしい,"엄하다, 엄격하다",word,-
N4,原因,げんいん,원인,word,-
N4,元気,げんき,건강함,word,-
N4,故障,こしょう,고장,word,-
N4,さしあげる,さしあげる,드리다경어,word,-
N4,さびしい,さびしい,"쓸쓸하다, 외롭다",word,-
N4,寒い,さむい,춥다,word,-
N4,叱る,しかる,꾸짖다,word,-
N4,支度,したく,"준비, 채비",word,-
N4,しっかりしている,しっかりしている,"착실하다, 다부지다",word,-
N4,閉める,しめる,문 따위를 닫다,word,-
N4,捨てる,すてる,버리다,word,-
N4,洗濯,せんたく,세탁,word,-
N4,育てる,そだてる,"기르다, 키우다",word,-
N4,大抵,たいてい,대체로,word,-
N4,だめ,だめ,"안 됨, 불가능함",word,-
N4,伝える,つたえる,"전하다, 전달하다",word,-
N4,適当,てきとう,적당함,word,-
N4,途中,とちゅう,도중,word,-
N4,どんどん,どんどん,쑥쑥,word,-
N4,似合う,にあう,어울리다,word,-
N4,熱,ねつ,열,word,-
N4,プレゼント,プレゼント,선물,word,-
N4,返事,へんじ,대답,word,-
N4,真面目,まじめ,"진지함, 성실함",word,-
N4,迎える,むかえる,맞이하다,word,-
N4,ゆっくりと,ゆっくりと,천천히,word,-
N4,喜ぶ,よろこぶ,기뻐하다,word,-
N4,沸かす,わかす,물을 끓이다,word,-
N4,～あいだに~,～あいだに~,동안에 •寝,word,-
